paper,summ,url,country,allocation,NOCT,involved,tools,relevance,economic,psych,social,health,schooling,means,research_design,employment_effects,size,path
"E.L. Forget. The town with no poverty: The health effects of a Canadian Guaranteed Annual Income Field Experiment. Canadian Public Policy, 37 (3), 283-306. 2011. ","A Canadian guaranteed annual income field experiement from 1974 to 1979 resulted in an 8.5 percent reduction in hospitalization rates and reduced contacts with physicians, showing that a relatively modest guaranteed annual income can improve population health and bring significant health system savings.",https://www.utpjournals.press/doi/full/10.3138/cpp.37.3.283,,SB,"A guaranteed annual income: Familities with no income will receive 60% of Statistics Canada low-income cut-off, varying by family size, degree of benefits received from other sources, and cost of living. People who did not qualify for welfare previously saw largest increases in income.",Canada,,"Effects on population health, reflected in economic and psychological outcomes",1,1,0,1,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/4.jpg
"E.L. Forget. The town with no poverty: The health effects of a Canadian Guaranteed Annual Income Field Experiment. Canadian Public Policy, 37 (3), 283-306. 2011. ","A Canadian guaranteed annual income field experiement from 1974 to 1979 resulted in an 8.5 percent reduction in hospitalization rates and reduced contacts with physicians, showing that a relatively modest guaranteed annual income can improve population health and bring significant health system savings.",https://www.utpjournals.press/doi/full/10.3138/cpp.37.3.283,,SB,"A guaranteed annual income: Familities with no income will receive 60% of Statistics Canada low-income cut-off, varying by family size, degree of benefits received from other sources, and cost of living. People who did not qualify for welfare previously saw largest increases in income.",Canada,,"Effects on population health, reflected in economic and psychological outcomes",1,1,0,1,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/4.jpg
"E.L. Forget. The town with no poverty: The health effects of a Canadian Guaranteed Annual Income Field Experiment. Canadian Public Policy, 37 (3), 283-306. 2011. ","A Canadian guaranteed annual income field experiement from 1974 to 1979 resulted in an 8.5 percent reduction in hospitalization rates and reduced contacts with physicians, showing that a relatively modest guaranteed annual income can improve population health and bring significant health system savings.",https://www.utpjournals.press/doi/full/10.3138/cpp.37.3.283,,SB,"A guaranteed annual income: Familities with no income will receive 60% of Statistics Canada low-income cut-off, varying by family size, degree of benefits received from other sources, and cost of living. People who did not qualify for welfare previously saw largest increases in income.",Canada,,"Effects on population health, reflected in economic and psychological outcomes",1,1,0,1,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/4.jpg
"E. L. Forget, A. Peden, S. Strobel. Cash Transfers, Basic Income and Community Building. Social Inclusion, 1(2), 84–91. September 2013. ","Various theories suggest that cash transfers not only affect individual decision-making but also impacts how households interact within a community, hence it is important to understand the social impact of basic income when addressing questions of how best to design cash transfer schemes. ",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.893.4835&rep=rep1&type=pdf,,GT,,,,Spillover effects of UBI,0,0,1,0,0,Y,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/3.jpg
"A. Goodman-Bacon, L. McGranahan. How Do EITC Recipients Spend Their Refunds? Economic Perspectives, Federal Reserve Bank of Chicago, 32(Q2). 2008.","Recipients of the Earned Income Tax Credit (EITC), a U.S. tax credit scheme that distributes a large transfer to low-income households once a  year, concentrated most of their household spending in vehicle purchases and transportation spending in response to their EITC payments.",https://www.chicagofed.org/publications/economic-perspectives/2008/2qtr2008-part2-goodman-etal,,SB,"Earned Income Tax Credit (EITC): a tax credit that serves to offset the payroll taxes and supplement the wages of low-income workers, with payments concentrated in February and March when tax refunds are received.",U.S.,,"Economic effects, measurement and tracking of consumption by category",1,0,0,0,0,,,,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/1.jpg
"Johannes Haushofer, Jeremy Shapiro. Household Responses to Income Changes: Evidence from an Unconditional Cash Transfer Program in Kenya. 2013. ","Unconditional cash transfers in Kenya led to a rise in food, medical and education expenditures and a fall in expenditures on alcohol and tabacco. Households likely face savings constraints, since one-off lump-sum transfers tended to be spent on durables. Cash transfers resulted in large increases in the receipients' psychological well-being as well.",https://www.princeton.edu/~joha/publications/Haushofer_Shapiro_UCT_2013.pdf,,GT,"RCT:  Selection of treatment group was randomized at both the village and household levels; further, within the treatment group, recipient gender (wife vs. husband), transfer timing (lump-sum vs monthly installments over 9 months), and transfer magnitude (USD 404 vs. USD 1,520) were randomized ",Kenya,"Surveys on consumption, asset holdings, employments, education, health, food security, female empowerment, and psychological well-being.","Economic, Health, Employment, Social, Educational Effects",1,1,1,1,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"Johannes Haushofer, Jeremy Shapiro. Household Responses to Income Changes: Evidence from an Unconditional Cash Transfer Program in Kenya. 2013. ","Unconditional cash transfers in Kenya led to a rise in food, medical and education expenditures and a fall in expenditures on alcohol and tabacco. Households likely face savings constraints, since one-off lump-sum transfers tended to be spent on durables. Cash transfers resulted in large increases in the receipients' psychological well-being as well.",https://www.princeton.edu/~joha/publications/Haushofer_Shapiro_UCT_2013.pdf,,GT,"RCT:  Selection of treatment group was randomized at both the village and household levels; further, within the treatment group, recipient gender (wife vs. husband), transfer timing (lump-sum vs monthly installments over 9 months), and transfer magnitude (USD 404 vs. USD 1,520) were randomized ",Kenya,"Surveys on consumption, asset holdings, employments, education, health, food security, female empowerment, and psychological well-being.","Economic, Health, Employment, Social, Educational Effects",1,1,1,1,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"Johannes Haushofer, Jeremy Shapiro. Household Responses to Income Changes: Evidence from an Unconditional Cash Transfer Program in Kenya. 2013. ","Unconditional cash transfers in Kenya led to a rise in food, medical and education expenditures and a fall in expenditures on alcohol and tabacco. Households likely face savings constraints, since one-off lump-sum transfers tended to be spent on durables. Cash transfers resulted in large increases in the receipients' psychological well-being as well.",https://www.princeton.edu/~joha/publications/Haushofer_Shapiro_UCT_2013.pdf,,GT,"RCT:  Selection of treatment group was randomized at both the village and household levels; further, within the treatment group, recipient gender (wife vs. husband), transfer timing (lump-sum vs monthly installments over 9 months), and transfer magnitude (USD 404 vs. USD 1,520) were randomized ",Kenya,"Surveys on consumption, asset holdings, employments, education, health, food security, female empowerment, and psychological well-being.","Economic, Health, Employment, Social, Educational Effects",1,1,1,1,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"Johannes Haushofer, Jeremy Shapiro. Household Responses to Income Changes: Evidence from an Unconditional Cash Transfer Program in Kenya. 2013. ","Unconditional cash transfers in Kenya led to a rise in food, medical and education expenditures and a fall in expenditures on alcohol and tabacco. Households likely face savings constraints, since one-off lump-sum transfers tended to be spent on durables. Cash transfers resulted in large increases in the receipients' psychological well-being as well.",https://www.princeton.edu/~joha/publications/Haushofer_Shapiro_UCT_2013.pdf,,GT,"RCT:  Selection of treatment group was randomized at both the village and household levels; further, within the treatment group, recipient gender (wife vs. husband), transfer timing (lump-sum vs monthly installments over 9 months), and transfer magnitude (USD 404 vs. USD 1,520) were randomized ",Kenya,"Surveys on consumption, asset holdings, employments, education, health, food security, female empowerment, and psychological well-being.","Economic, Health, Employment, Social, Educational Effects",1,1,1,1,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
"Johannes Haushofer, Jeremy Shapiro. Household Responses to Income Changes: Evidence from an Unconditional Cash Transfer Program in Kenya. 2013. ","Unconditional cash transfers in Kenya led to a rise in food, medical and education expenditures and a fall in expenditures on alcohol and tabacco. Households likely face savings constraints, since one-off lump-sum transfers tended to be spent on durables. Cash transfers resulted in large increases in the receipients' psychological well-being as well.",https://www.princeton.edu/~joha/publications/Haushofer_Shapiro_UCT_2013.pdf,,GT,"RCT:  Selection of treatment group was randomized at both the village and household levels; further, within the treatment group, recipient gender (wife vs. husband), transfer timing (lump-sum vs monthly installments over 9 months), and transfer magnitude (USD 404 vs. USD 1,520) were randomized ",Kenya,"Surveys on consumption, asset holdings, employments, education, health, food security, female empowerment, and psychological well-being.","Economic, Health, Employment, Social, Educational Effects",1,1,1,1,1,,,Y,40000,https://raw.githubusercontent.com/3milychu/jfi/master/studentloans/assets/5.jpg
